"SpeciesSearched","Scientific.Name","OrigOccurrences","Occurrences","StudyArea_Occur","Keys","Class","Family","Genus","Species"
"Bombina orientalis","Bombina orientalis",7641,7305,NA,2423441,"Amphibia","Bombinatoridae","Bombina","Bombina_orientalis"
"Bufo gargarizans","Bufo gargarizans",3527,3403,NA,5217144,"Amphibia","Bufonidae","Bufo","Bufo_gargarizans"
"Bufo stejnegeri","Bufo stejnegeri",716,697,NA,5217164,"Amphibia","Bufonidae","Bufo","Bufo_stejnegeri"
"Dryophytes japonicus","Dryophytes japonicus",10287,9603,NA,10857535,"Amphibia","Hylidae","Dryophytes","Dryophytes_japonicus"
"Dryophytes immaculatus","Dryophytes immaculatus",306,229,NA,10807870,"Amphibia","Hylidae","Dryophytes","Dryophytes_immaculatus"
NA,"Dryophytes flaviventris",0,0,0,11131547,NA,NA,NA,NA
"Glandirana emeljanovi","Glandirana emeljanovi",397,350,NA,2427333,"Amphibia","Ranidae","Glandirana","Glandirana_emeljanovi"
"Hynobius leechii","Hynobius leechii",7029,6339,NA,2431142,"Amphibia","Hynobiidae","Hynobius","Hynobius_leechii"
"Hynobius yangi","Hynobius yangi",91,91,NA,2431151,"Amphibia","Hynobiidae","Hynobius","Hynobius_yangi"
"Hynobius quelpaertensis","Hynobius quelpaertensis",330,321,NA,2431133,"Amphibia","Hynobiidae","Hynobius","Hynobius_quelpaertensis"
"Hynobius unisacculus","Hynobius unisacculus",64,64,NA,8780195,"Amphibia","Hynobiidae","Hynobius","Hynobius_unisacculus"
"Hynobius geojeensis","Hynobius geojeensis",68,61,NA,12256496,"Amphibia","Hynobiidae","Hynobius","Hynobius_geojeensis"
"Hynobius perplicatus","Hynobius perplicatus",96,86,NA,12211123,"Amphibia","Hynobiidae","Hynobius","Hynobius_perplicatus"
"Hynobius notialis","Hynobius notialis",49,42,NA,12203729,"Amphibia","Hynobiidae","Hynobius","Hynobius_notialis"
"Karsenia koreana","Karsenia koreana",393,367,NA,2431476,"Amphibia","Plethodontidae","Karsenia","Karsenia_koreana"
"Kaloula borealis","Kaloula borealis",783,689,NA,2421640,"Amphibia","Microhylidae","Kaloula","Kaloula_borealis"
"Lithobates catesbeianus","Lithobates catesbeianus",3874,3787,NA,2427091,"Amphibia","Ranidae","Lithobates","Lithobates_catesbeianus"
"Onychodactylus koreanus","Onychodactylus koreanus",919,882,NA,10500868,"Amphibia","Hynobiidae","Onychodactylus","Onychodactylus_koreanus"
NA,"Onychodactylus sillanus",0,0,0,NA,NA,NA,NA,NA
"Pelophylax nigromaculatus","Pelophylax nigromaculatus",10204,9950,NA,2426634,"Amphibia","Ranidae","Pelophylax","Pelophylax_nigromaculatus"
"Rana uenoi","Rana uenoi",1765,1518,NA,8949930,"Amphibia","Ranidae","Rana","Rana_uenoi"
"Rana coreana","Rana coreana",2184,2041,NA,2426794,"Amphibia","Ranidae","Rana","Rana_coreana"
"Rana huanrenensis","Rana huanrenensis",2180,2006,NA,2426797,"Amphibia","Ranidae","Rana","Rana_huanrenensis"
